created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-11 06:20:48,917998397617041409,2017-10-11 06:20:48,TalkToTheHand75,Mordor,52,RT @charlieafnord: Förutom det orimliga i att man kan överklaga utvisningsbeslut in i det evinnerliga - vad kostar inte detta spektakel oss…,
2017-10-11 06:19:51,917998159678320640,2017-10-11 06:19:51,EliAhl,Stockholm,0,@Migrationsverk @socialdemokrat Eller ta och läs vår rapport. Alla redovisade fall har målnummer och ärendenummer.… https://t.co/krlOwswPrl,917997607473074176
2017-10-11 06:17:53,917997664406573057,2017-10-11 06:17:53,backfredrik,,19,RT @magnus_vinqvist: @metrosverige @metrodebatt Detta är ju helt befängt. Hur kan ni släppa igenom denna med tanke på allt som är känt om å…,
2017-10-11 06:14:38,917996844998946816,2017-10-11 06:14:38,backfredrik,,13,RT @berge_stina: #vistårinteut - Björn Kjellman talar om rättsosäkerhet i asylprocessen https://t.co/WEv0bHXP3g via @YouTube,
2017-10-11 05:56:56,917992394284503040,2017-10-11 05:56:56,JohanssoBritt,,12,"RT @MadeleineMaddis: Svensk regering skickar unga som integrerats till ett livsfarligt liv i Afghanistan @johanssonmorgan 
#vistårinteut 
h…",
2017-10-11 05:56:46,917992351422930945,2017-10-11 05:56:46,JohanssoBritt,,12,RT @EllieBru1: #låtdeungastanna #vistårinteut 16 S-ledamöter i riksdagen går emot partilinjen för att stoppa utvisningarna! https://t.co/Hb…,
2017-10-11 05:16:07,917982121981042688,2017-10-11 05:16:07,Hamnviken,"Kramfors, Sweden",28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 05:15:12,917981889050370049,2017-10-11 05:15:12,Hamnviken,"Kramfors, Sweden",1,RT @MadeleineMaddis: Är @socialdemokrat medvetna om vad väljarna snart kommer att visa? #låtdeungastanna #vistårinteut https://t.co/olhUfe2…,
2017-10-11 05:13:46,917981530198282241,2017-10-11 05:13:46,MadeleineMaddis,,25,"RT @KristinaEriks10: @anderslindberg Läs gärna Vi står inte uts rapport om rättsosäkerheten i asylprocessen. Det är 122 fall, toppen av ett…",
2017-10-11 05:12:50,917981295375986688,2017-10-11 05:12:50,Hamnviken,"Kramfors, Sweden",3,RT @MadeleineMaddis: Hej @MRibbenvik det är jag igen. Vad tycker du om att samma personer blir fler o fler #låtdeungastanna #vistårinteut h…,
2017-10-11 05:12:41,917981257493090304,2017-10-11 05:12:41,stoppautvisning,,25,"RT @KristinaEriks10: @anderslindberg Läs gärna Vi står inte uts rapport om rättsosäkerheten i asylprocessen. Det är 122 fall, toppen av ett…",
2017-10-11 05:11:47,917981028735741955,2017-10-11 05:11:47,JohanssoBritt,,28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 05:10:33,917980718537625600,2017-10-11 05:10:33,KinnaVSIU,,28,RT @AsaLindhagen: Det är vansinne att vi sänder unga in i döden. Stoppa utvisningarna till Afghanistan! #låtdeungastanna #vistårinteut http…,
2017-10-11 05:09:38,917980487108431872,2017-10-11 05:09:38,KinnaVSIU,,12,RT @EllieBru1: #låtdeungastanna #vistårinteut 16 S-ledamöter i riksdagen går emot partilinjen för att stoppa utvisningarna! https://t.co/Hb…,
2017-10-11 05:06:16,917979641398353921,2017-10-11 05:06:16,Hamnviken,"Kramfors, Sweden",1,"RT @MadeleineMaddis: Är det så här vårt välfärdssverige ska vara @socialdemokrat 
#låtdeungastanna #vistårinteut https://t.co/77RcPLSNcT",
