created_at,id,created_at,author,location,retweet_count,tweet,in_reply
2017-10-18 18:52:55,920724391889178625,2017-10-18 18:52:55,jjuuuliiaaa,,40,RT @feliciaaveklew: För att jag sagt ”okej” när det inte alls var okej. #MeToo,
2017-10-18 18:52:52,920724379369181186,2017-10-18 18:52:52,ebbagustafssonn,,1741,"RT @SilvanaImam: ”Inte alla män” men nästan alla kvinnor. 

Följ #MeToo",
2017-10-18 18:52:37,920724313413693440,2017-10-18 18:52:37,Onlysofia, Norra Stå,367,"RT @Emmywin: #MeToo 
Skulle kunna skriva över 150 tweets med den här hashtagen men män skulle fortfarande inte förstå problemet.",
2017-10-18 18:52:27,920724273739829248,2017-10-18 18:52:27,linneamicaela,,14,"RT @komarb: Säg ifrån, dokumentera, berätta. Maria Ahlsten, utredare på @FacketKommunal skriver om sexuella trakasserier.
https://t.co/9ueT…",
2017-10-18 18:52:26,920724269914578944,2017-10-18 18:52:26,josefinpet,,1,"RT @matildakronholm: ""Du är bra för att vara tjej."" VARJE IDROTTSLEKTION I GRUNDSKOLAN. Håll käften. Vet du vad jag är? Jag är bra. Jag är…",
2017-10-18 18:52:24,920724258359300102,2017-10-18 18:52:24,JennyTropp,"Karlskoga, Sverige",420,"RT @AlltGenast: Kolla vad fint och bra en jag inte alls känner skrev på FB om #metoo och var gränsen går! (Öppen status, så jag behåller na…",
2017-10-18 18:52:21,920724248766877698,2017-10-18 18:52:21,linneamicaela,,86,RT @lisa_blomqvist: En i övrigt duktig journalist. #metoo https://t.co/7x5X9GwuBI,
2017-10-18 18:52:18,920724234162368516,2017-10-18 18:52:18,Juliaekloflilja,,1327,RT @hagnestahill_: Att Anna Book nu stöttar #metoo när hon nyligen körde på offentlig skuldbeläggning och victimblaming av tjejen hennes so…,
2017-10-18 18:52:07,920724190814179329,2017-10-18 18:52:07,FBzorze,,183,RT @redrum_2001: Just nu på Aftonbladet #svpol #metoo #virtanen #virtanengate https://t.co/nFDJdd0bbU,
2017-10-18 18:51:48,920724108790427649,2017-10-18 18:51:48,H_Viita,"Stockholm, Sverige",8,RT @AgnetaBlomqvist: Ulf Kristersson borde ta denne #HanifBali i örat - fel minst sagt kalla äldre kvinnor batikhäxor i dessa #meToo tider.…,
2017-10-18 18:51:47,920724106701606913,2017-10-18 18:51:47,AgrenFabian,,16,"RT @MagnusHultman: Uppmaning till samtliga: 1, läs #metoo. 2, reflektera. 3, ta åt er.",
2017-10-18 18:51:37,920724061453512704,2017-10-18 18:51:37,MrStenstrom,,0,Hej @sofiaoo! Har du sett de nya uppgifterna som ännu en kvinna nu delar med sig av angående er medarbetare? Några… https://t.co/vBf5bbMcus,
2017-10-18 18:51:15,920723969094897666,2017-10-18 18:51:15,amandaaperssonn,,1741,"RT @SilvanaImam: ”Inte alla män” men nästan alla kvinnor. 

Följ #MeToo",
